organization_name,participants_COP28,participants_COP29,participants_total,is_insurance,website_url,search_method,content_source,processing_status,error_message,processed_at
VALE,1,0,1,,,,,failed,Não foi possível extrair conteúdo relevante de https://en.wikipedia.org/wiki/Vale,2025-07-30T21:26:49.977475
State University of Pará,1,0,1,False,https://en.wikipedia.org/wiki/Pará_State_University,wikipedia,wikipedia,completed,,2025-07-30T21:26:52.075455
PwC Brasil,1,0,1,False,https://www.pwc.com.br/,bing,website,completed,,2025-07-30T21:26:54.852441
Santander Brazil,1,0,1,False,https://en.wikipedia.org/wiki/Banco_Santander,wikipedia,wikipedia,completed,,2025-07-30T21:26:57.072084
Pará's Federation of Industries,1,0,1,False,https://en.wikipedia.org/wiki/List_of_international_sports_federations,wikipedia_fallback,wikipedia,completed,,2025-07-30T21:27:00.245081
APIAM/COIAB,1,0,1,,,,,failed,Não foi possível encontrar website para APIAM/COIAB,2025-07-30T21:27:00.943259
Federal University of Minas Gerais,1,0,1,False,https://en.wikipedia.org/wiki/Federal_University_of_Minas_Gerais,wikipedia,wikipedia,completed,,2025-07-30T21:27:04.890740
Private Company,1,0,1,False,https://en.wikipedia.org/wiki/Privately_held_company,wikipedia,wikipedia,completed,,2025-07-30T21:27:07.940364
CropLife Brasil,1,0,1,False,https://croplifebrasil.org/,bing,website,completed,,2025-07-30T21:27:15.347171
Friends of the Earth - Amazonia Program *,1,0,1,False,https://en.wikipedia.org/wiki/Amazon_Women_in_the_Mood,wikipedia_fallback,wikipedia,completed,,2025-07-30T21:27:17.610088
Agroicone,1,0,1,False,https://agroicone.com.br/,bing,website,completed,,2025-07-30T21:27:23.200830
Palmares Laboratory Action,1,0,1,,,,,failed,Não foi possível extrair conteúdo relevante de https://www.palmares.gov.br/?tag=cultura-afro-brasileira-segundo-premio-nacional-de-expressoes-culturais-afro-brasileira-comissao-julgadora-do-segundo-premio-nacional-de-expressoes-culturais-afro-brasileira,2025-07-30T21:27:24.136616
Centro de Vida Institute,1,0,1,False,https://en.wikipedia.org/wiki/Instituto_de_Astrofísica_de_Canarias,wikipedia_fallback,wikipedia,completed,,2025-07-30T21:27:26.919575
Brazilian Institute to Support Social and Economic Development,1,0,1,False,https://en.wikipedia.org/wiki/Brazilian_Social_Democracy_Party,wikipedia_fallback,wikipedia,completed,,2025-07-30T21:27:29.588706
Purpurina - Communication HUB,1,0,1,,,,,failed,Não foi possível encontrar website para Purpurina - Communication HUB,2025-07-30T21:27:30.236022
Ana Chagas Legal Consultant / LaClima,1,0,1,False,https://www.ana.co.jp/,bing,website,completed,,2025-07-30T21:27:33.622923
Brazilian Center for Municipal Assistance (CEBRAM),1,0,1,,,,,failed,Não foi possível encontrar website para Brazilian Center for Municipal Assistance (CEBRAM),2025-07-30T21:27:34.323710
National Operator Electrical System,1,0,1,False,https://en.wikipedia.org/wiki/Transmission_system_operator,wikipedia,wikipedia,completed,,2025-07-30T21:27:39.702825
Votorantim Cimentos,1,0,1,False,https://en.wikipedia.org/wiki/Votorantim_Cimentos,wikipedia,wikipedia,completed,,2025-07-30T21:27:41.451281
My Indigenous Knowledge in Action,0,1,1,False,https://en.wikipedia.org/wiki/Indigenous_science,wikipedia_fallback,wikipedia,completed,,2025-07-30T21:27:44.673257
Il'laramatak Community Concerns,0,1,1,,,,,failed,Não foi possível encontrar website para Il'laramatak Community Concerns,2025-07-30T21:27:45.323209
Hifadhi Mazingira Women Group,0,1,1,,,,,failed,Não foi possível encontrar website para Hifadhi Mazingira Women Group,2025-07-30T21:27:45.960279
Maasai Moran Community Conservation Trust,0,1,1,False,https://en.wikipedia.org/wiki/Maasai_people,wikipedia_fallback,wikipedia,completed,,2025-07-30T21:27:48.324860
ANAPAC,0,1,1,False,https://en.wikipedia.org/wiki/List_of_barangays_in_Pangasinan,wikipedia_fallback,wikipedia,completed,,2025-07-30T21:27:51.496613
Il'aramatak Community Concerns,0,1,1,,,,,failed,Não foi possível encontrar website para Il'aramatak Community Concerns,2025-07-30T21:27:52.067641
African Foundation,0,1,1,False,https://en.wikipedia.org/wiki/African_Wildlife_Foundation,wikipedia,wikipedia,completed,,2025-07-30T21:27:54.163054
Womens Earth Alliance,0,1,1,False,https://en.wikipedia.org/wiki/Heinz_Awards,wikipedia_fallback,wikipedia,completed,,2025-07-30T21:27:58.320077
ENGG Ltd,0,1,1,False,https://en.wikipedia.org/wiki/Triveni_Engineering_&_Industries,wikipedia_fallback,wikipedia,completed,,2025-07-30T21:28:00.808880
Kautilya School of Public Policy,0,1,1,False,https://en.wikipedia.org/wiki/Mathukumilli_Bharat,wikipedia_fallback,wikipedia,completed,,2025-07-30T21:28:03.608845
Now Venture Studio,0,1,1,False,https://en.wikipedia.org/wiki/Venture_capital,wikipedia_fallback,wikipedia,completed,,2025-07-30T21:28:06.046446
Climate Specific Union,0,1,1,,,,,failed,Não foi possível extrair conteúdo relevante de https://en.wikipedia.org/wiki/Climate_change,2025-07-30T21:28:07.566681
PwC Strategy,1,0,1,False,https://en.wikipedia.org/wiki/Strategy&,wikipedia,wikipedia,completed,,2025-07-30T21:28:10.420771
Cebrap,1,0,1,False,https://cebrap.org.br/,bing,website,completed,,2025-07-30T21:28:16.055835
UNESP,1,0,1,False,https://www.vunesp.com.br/VNSP2404,bing,website,completed,,2025-07-30T21:28:19.001226
Nestlé Brazil,1,0,1,False,https://en.wikipedia.org/wiki/List_of_Nestlé_brands,wikipedia,wikipedia,completed,,2025-07-30T21:28:21.243426
ArcelorMittal Brazil,1,0,1,False,https://en.wikipedia.org/wiki/ArcelorMittal,wikipedia,wikipedia,completed,,2025-07-30T21:28:22.787581
WCS Brazil,1,0,1,False,https://en.wikipedia.org/wiki/BR-319_(Brazil_highway),wikipedia,wikipedia,completed,,2025-07-30T21:28:25.264933
Raizen,1,0,1,False,https://www.raizen.com.br/,bing,website,completed,,2025-07-30T21:28:32.594491
The Nature Conservancy Brazil,1,0,1,False,https://en.wikipedia.org/wiki/The_Nature_Conservancy,wikipedia,wikipedia,completed,,2025-07-30T21:28:33.957638
Green Brazil Interfederative Climate Consortium,1,0,1,,,,,failed,Não foi possível encontrar website para Green Brazil Interfederative Climate Consortium,2025-07-30T21:28:34.606935
State Secretariat and Education of the Government of the Federal District,1,0,1,False,https://en.wikipedia.org/wiki/State_governments_of_India,wikipedia_fallback,wikipedia,completed,,2025-07-30T21:28:37.611835
Auren Energy,1,0,1,False,https://www.aurenenergia.com.br/,bing,website,completed,,2025-07-30T21:28:46.678200
Esturaro Associates,1,0,1,False,http://www.estuaryassociates.co.uk/,bing,website,completed,,2025-07-30T21:28:50.226104
GigaEco,1,0,1,False,https://en.wikipedia.org/wiki/Mekong_giant_catfish,wikipedia_fallback,wikipedia,completed,,2025-07-30T21:28:52.575902
Federal University of Pernambuco,1,0,1,False,https://en.wikipedia.org/wiki/Federal_University_of_Pernambuco,wikipedia,wikipedia,completed,,2025-07-30T21:28:54.469257
B Media Production,1,0,1,False,https://en.wikipedia.org/wiki/Studio_B_Productions,wikipedia,wikipedia,completed,,2025-07-30T21:28:56.644524
Advocacy Consulting,1,0,1,False,https://aradvocacyconsulting.com/,bing,website,completed,,2025-07-30T21:29:04.421143
Conservation International Brazil,1,0,1,False,https://en.wikipedia.org/wiki/Conservation_in_Brazil,wikipedia,wikipedia,completed,,2025-07-30T21:29:08.487947
Sustainable Carbon,1,0,1,False,https://en.wikipedia.org/wiki/Low-carbon_economy,wikipedia,wikipedia,completed,,2025-07-30T21:29:09.855134
Sustainable Perifa Institute,1,0,1,False,https://en.wikipedia.org/wiki/100_Women_(BBC),wikipedia_fallback,wikipedia,completed,,2025-07-30T21:29:12.701988
Soothing Journeys,0,1,1,False,https://en.wikipedia.org/wiki/List_of_Hercules:_The_Legendary_Journeys_episodes,wikipedia,wikipedia,completed,,2025-07-30T21:29:16.007695
Celandaire Capital,0,1,1,,,,,failed,Não foi possível encontrar website para Celandaire Capital,2025-07-30T21:29:16.672633
Northern Vision Community Based Organization,0,1,1,False,https://en.wikipedia.org/wiki/Faith_in_Action,wikipedia_fallback,wikipedia,completed,,2025-07-30T21:29:19.518113
Instituto Inu,0,1,1,False,https://en.wikipedia.org/wiki/Encontro_de_Cultura_Huni_Kuin,wikipedia_fallback,wikipedia,completed,,2025-07-30T21:29:22.145784
IEN,0,1,1,,,,,failed,Não foi possível extrair conteúdo relevante de https://en.wikipedia.org/wiki/IEN,2025-07-30T21:29:22.995012
Zenab for Women in Development,0,1,1,False,https://en.wikipedia.org/wiki/Zeinab_Badawi,wikipedia_fallback,wikipedia,completed,,2025-07-30T21:29:26.905144
KPMG LLC,0,1,1,False,https://en.wikipedia.org/wiki/KPMG,wikipedia,wikipedia,completed,,2025-07-30T21:29:28.444867
Climate Action Director,0,1,1,False,https://en.wikipedia.org/wiki/Climate_Action_Network,wikipedia,wikipedia,completed,,2025-07-30T21:29:32.083506
"KPMG Abogados, S.L.",0,1,1,False,https://en.wikipedia.org/wiki/List_of_members_of_the_Trilateral_Commission,wikipedia_fallback,wikipedia,completed,,2025-07-30T21:29:34.846300
Oxiteno,1,0,1,False,https://en.wikipedia.org/wiki/Oxiteno,wikipedia,wikipedia,completed,,2025-07-30T21:29:39.703870
Amazon Working Group,1,0,1,False,https://en.wikipedia.org/wiki/Amazon_(company),wikipedia,wikipedia,completed,,2025-07-30T21:29:44.752621
Roraima Indigenous Council - CIR,1,0,1,False,https://www.cir.org.br/,bing,website,completed,,2025-07-30T21:29:48.623918
Coordination of Indigenous Organizations,1,0,1,False,https://en.wikipedia.org/wiki/Coordinator_of_Indigenous_Organizations_of_the_Amazon_River_Basin,wikipedia,wikipedia,completed,,2025-07-30T21:29:49.925094
"GIFE - Group of Institutes, Foundations and Business",1,0,1,,,,,failed,"Não foi possível encontrar website para GIFE - Group of Institutes, Foundations and Business",2025-07-30T21:29:50.557086
Brazilian Machinery Builders Association,1,0,1,False,https://en.wikipedia.org/wiki/Association_for_Manufacturing_Technology,wikipedia_fallback,wikipedia,completed,,2025-07-30T21:29:55.012216
Pour le Bresil,1,0,1,False,https://en.wikipedia.org/wiki/Le_langaige_du_Bresil,wikipedia,wikipedia,completed,,2025-07-30T21:29:56.940616
Viridios AI,1,0,1,False,https://viridios.ai/,bing,website,completed,,2025-07-30T21:30:00.628319
Social-Environmental Funds of The Global South Alliance,1,0,1,False,"https://en.wikipedia.org/wiki/Environmental,_social,_and_governance",wikipedia_fallback,wikipedia,completed,,2025-07-30T21:30:03.560666
The Life Center Institute,1,0,1,False,https://en.wikipedia.org/wiki/Stanford_University_centers_and_institutes,wikipedia,wikipedia,completed,,2025-07-30T21:30:05.394347
Machado Meyer Law Firm,1,0,1,False,https://www.machadomeyer.com.br/en,bing,website,completed,,2025-07-30T21:30:11.876927
Institute Climate Election,1,0,1,False,https://en.wikipedia.org/wiki/Institute_of_Public_Affairs,wikipedia_fallback,wikipedia,completed,,2025-07-30T21:30:13.762666
ISA CTEEP,1,0,1,False,https://en.wikipedia.org/wiki/CTEEP,wikipedia,wikipedia,completed,,2025-07-30T21:30:14.952234
Industry Federation of Santa Catarina State,1,0,1,False,https://en.wikipedia.org/wiki/TAC_Stark,wikipedia_fallback,wikipedia,completed,,2025-07-30T21:30:19.606260
COEQTO,1,0,1,False,https://coeqto.com.br/,bing,website,completed,,2025-07-30T21:30:30.768547
Popular University Institute,1,0,1,,,,,failed,Não foi possível extrair conteúdo relevante de https://opopular.com.br/,2025-07-30T21:30:32.277354
Federal University of Goias,1,0,1,False,https://en.wikipedia.org/wiki/Federal_University_of_Goiás,wikipedia,wikipedia,completed,,2025-07-30T21:30:34.367876
Governo de Sergipe,1,0,1,False,https://en.wikipedia.org/wiki/Sergipe,wikipedia,wikipedia,completed,,2025-07-30T21:30:37.142644
National Federation of Brazil's Central Bank Employees,1,0,1,False,https://en.wikipedia.org/wiki/European_Central_Bank,wikipedia_fallback,wikipedia,completed,,2025-07-30T21:30:40.066224
"State Secretariat for Labor, Social Action and Citizenship",1,0,1,False,https://en.wikipedia.org/wiki/Multiple_citizenship,wikipedia_fallback,wikipedia,completed,,2025-07-30T21:30:42.765769
Ecopart,1,0,1,False,https://en.wikipedia.org/wiki/Bossard_Group,wikipedia_fallback,wikipedia,completed,,2025-07-30T21:30:46.257756
Pontifical Catholic University of Minas Gerais,1,0,1,False,https://en.wikipedia.org/wiki/Pontifical_Catholic_University_of_Minas_Gerais,wikipedia,wikipedia,completed,,2025-07-30T21:30:49.200839
Open Society,1,0,1,False,https://en.wikipedia.org/wiki/Open_society,wikipedia,wikipedia,completed,,2025-07-30T21:30:51.406404
Emergent Forest Finance,1,0,1,False,https://emergentclimate.com/,bing,website,completed,,2025-07-30T21:31:00.666417
Development Company of Maricá City,1,0,1,False,https://en.wikipedia.org/wiki/Rio_de_Janeiro,wikipedia_fallback,wikipedia,completed,,2025-07-30T21:31:03.558609
ABIEC,1,0,1,False,https://abiec.com.br/,bing,website,completed,,2025-07-30T21:31:06.161254
Agriculture Federation of Parana,1,0,1,False,https://en.wikipedia.org/wiki/Agriculture_in_Brazil,wikipedia_fallback,wikipedia,completed,,2025-07-30T21:31:09.754820
Peregum Institute of Black Reference,1,0,1,,,,,failed,Não foi possível encontrar website para Peregum Institute of Black Reference,2025-07-30T21:31:10.356039
Uneafro-BR,1,0,1,False,https://uneafrobrasil.org/uneafro-realiza-seminario-para-debater-relacoes-etnico-raciais-no-proximo-plano-nacional-de-educacao/,bing,website,completed,,2025-07-30T21:31:16.170905
ComBio Reneawble Energy,1,0,1,,,,,failed,Não foi possível encontrar website para ComBio Reneawble Energy,2025-07-30T21:31:16.784889
Oswaldo Cruz Foudation,1,0,1,False,https://fiocruz.br/en/foundation,bing,website,completed,,2025-07-30T21:31:20.551890
Vale S/A,1,0,1,False,https://en.wikipedia.org/wiki/Vale_S.A.,wikipedia,wikipedia,completed,,2025-07-30T21:31:22.980371
"Brazilian Coalition on Climate, Forests and Agriculture",1,0,1,False,https://en.wikipedia.org/wiki/REDD_and_REDD+,wikipedia_fallback,wikipedia,completed,,2025-07-30T21:31:25.892581
DIEESE,1,0,1,False,https://en.wikipedia.org/wiki/Inflation_indexes_in_Brazil,wikipedia_fallback,wikipedia,completed,,2025-07-30T21:31:28.436520
Índigo,1,0,1,False,https://en.wikipedia.org/wiki/Lola_Índigo,wikipedia,wikipedia,completed,,2025-07-30T21:31:30.326800
Life Center Institute,1,0,1,False,https://en.wikipedia.org/wiki/Stanford_University_centers_and_institutes,wikipedia,wikipedia,completed,,2025-07-30T21:31:32.519890
CNI (Capacitá Eventos),1,0,1,,,,,failed,Não foi possível encontrar website para CNI (Capacitá Eventos),2025-07-30T21:31:33.118401
AMAGGI,1,0,1,False,https://en.wikipedia.org/wiki/Amaggi_Group,wikipedia,wikipedia,completed,,2025-07-30T21:31:35.016606
Unicollectors,1,0,1,False,https://unicollectors.com/,bing,website,completed,,2025-07-30T21:31:37.067591
Columbia Global Centers Rio,1,0,1,False,https://en.wikipedia.org/wiki/Columbia_Global_Centers,wikipedia,wikipedia,completed,,2025-07-30T21:31:39.005152
Tucunduba Institute,1,0,1,,,,,failed,Não foi possível encontrar website para Tucunduba Institute,2025-07-30T21:31:39.585335
Ambipar Response,1,0,1,False,https://ir-response.ambipar.com/pt-br/a-emergencia-participacoes/perfil-corporativo/,bing,website,completed,,2025-07-30T21:31:42.532394
Sustainable Futures,0,1,1,False,https://en.wikipedia.org/wiki/Sustainability,wikipedia_fallback,wikipedia,completed,,2025-07-30T21:31:44.335368
regional director at Agro Ccs,0,1,1,False,https://en.wikipedia.org/wiki/Chaudhary_Charan_Singh_Haryana_Agricultural_University,wikipedia_fallback,wikipedia,completed,,2025-07-30T21:31:47.466989
KPMG Tendencias,0,1,1,,,,,failed,Não foi possível encontrar website para KPMG Tendencias,2025-07-30T21:31:48.110482
Prakheti,0,1,1,,,,,failed,Não foi possível encontrar website para Prakheti,2025-07-30T21:31:48.692625
Nepal Climate Hub,0,1,1,False,"https://en.wikipedia.org/wiki/Lalitpur,_Nepal",wikipedia_fallback,wikipedia,completed,,2025-07-30T21:31:51.136633
TISS,0,1,1,False,https://en.wikipedia.org/wiki/Tata_Institute_of_Social_Sciences,wikipedia_fallback,wikipedia,completed,,2025-07-30T21:31:55.707177
Sustainable Tea/Save movement,0,1,1,False,https://en.wikipedia.org/wiki/Darjeeling_tea,wikipedia_fallback,wikipedia,completed,,2025-07-30T21:32:02.060338
Imperial College,0,1,1,False,https://en.wikipedia.org/wiki/Imperial_College_London,wikipedia,wikipedia,completed,,2025-07-30T21:32:06.374181
Roots,0,1,1,False,https://en.wikipedia.org/wiki/The_Roots,wikipedia,wikipedia,completed,,2025-07-30T21:32:10.141716
Environment and Development Organization,0,1,1,False,https://en.wikipedia.org/wiki/Women's_Environment_and_Development_Organization,wikipedia,wikipedia,completed,,2025-07-30T21:32:11.739666
National Articulation of Indigenous Women Warriors of Ancestry,1,0,1,False,https://en.wikipedia.org/wiki/Isabelle_Nogueira,wikipedia_fallback,wikipedia,completed,,2025-07-30T21:32:11.740635
SENAI-DN,1,0,1,False,https://www.sc.senai.br/,bing,website,completed,,2025-07-30T21:32:14.352833
KPAZ 21 Consulting and Projects,1,0,1,,,,,failed,Não foi possível encontrar website para KPAZ 21 Consulting and Projects,2025-07-30T21:32:14.985487
ENGIE Brazil,1,0,1,False,https://en.wikipedia.org/wiki/ENGIE_Brasil,wikipedia,wikipedia,completed,,2025-07-30T21:32:20.220788
National Confederation of Industry Brazil,1,0,1,False,https://en.wikipedia.org/wiki/Industry_in_Brazil,wikipedia,wikipedia,completed,,2025-07-30T21:32:25.391556
Youth Forum for Political Development,0,1,1,False,https://en.wikipedia.org/wiki/World_Youth_Forum,wikipedia,wikipedia,completed,,2025-07-30T21:32:30.680614
Generations without Qat Organization,0,1,1,False,https://en.wikipedia.org/wiki/Environmental_issues_in_Yemen,wikipedia_fallback,wikipedia,completed,,2025-07-30T21:32:35.754497
Dipaleseng Just Energy Transition Task Team,0,1,1,,,,,failed,Não foi possível encontrar website para Dipaleseng Just Energy Transition Task Team,2025-07-30T21:32:36.355400
Komati Steering Committee,0,1,1,False,https://en.wikipedia.org/wiki/Eskom,wikipedia_fallback,wikipedia,completed,,2025-07-30T21:32:40.122755
ICLEI South America Secretariat,0,1,1,False,https://en.wikipedia.org/wiki/ICLEI,wikipedia_fallback,wikipedia,completed,,2025-07-30T21:32:41.979760
NYC Climate Exchange,0,1,1,False,https://www.nyc.gov/,bing,website,completed,,2025-07-30T21:32:46.770913
Tswelopele Local Municipality,0,1,1,False,https://en.wikipedia.org/wiki/Tswelopele_Local_Municipality,wikipedia,wikipedia,completed,,2025-07-30T21:32:50.446746
TIDALWATT,1,0,1,,,,,failed,Não foi possível encontrar website para TIDALWATT,2025-07-30T21:32:51.096267
Data_Labe Association,1,0,1,False,https://datalabe.org/,bing,website,completed,,2025-07-30T21:32:54.208750
JBS S.A,1,0,1,False,https://en.wikipedia.org/wiki/JBS_S.A.,wikipedia,wikipedia,completed,,2025-07-30T21:32:57.473029
Fox Industry,1,0,1,False,https://en.wikipedia.org/wiki/Silver_fox_(animal),wikipedia,wikipedia,completed,,2025-07-30T21:32:58.968344
"Culture, education, political leadership",1,0,1,False,https://en.wikipedia.org/wiki/Center_of_Leadership_Culture,wikipedia_fallback,wikipedia,completed,,2025-07-30T21:33:01.266196
Carbon Credit Markets,1,0,1,False,https://en.wikipedia.org/wiki/Carbon_offsets_and_credits,wikipedia,wikipedia,completed,,2025-07-30T21:33:03.522279
Brazilian Society of Urban Afforestation,1,0,1,False,https://en.wikipedia.org/wiki/Urban_park,wikipedia_fallback,wikipedia,completed,,2025-07-30T21:33:06.426063
Ernst & Young Assessoria Empresarial ( EY),1,0,1,,,,,failed,Não foi possível encontrar website para Ernst & Young Assessoria Empresarial ( EY),2025-07-30T21:33:07.115259
Conscience Carbon,1,0,1,,,,,failed,Não foi possível extrair conteúdo relevante de https://en.wikipedia.org/wiki/Conscience,2025-07-30T21:33:07.985542
Embu County Government,0,1,1,False,https://en.wikipedia.org/wiki/Embu_County,wikipedia,wikipedia,completed,,2025-07-30T21:33:09.228438
Green Generation Initiative,0,1,1,False,https://en.wikipedia.org/wiki/Elizabeth_Wathuti,wikipedia_fallback,wikipedia,completed,,2025-07-30T21:33:12.089896
Republican People's Party,0,1,1,False,https://en.wikipedia.org/wiki/Republican_People's_Party,wikipedia,wikipedia,completed,,2025-07-30T21:33:14.774604
"IBON International Foundation, Inc.",0,1,1,False,https://en.wikipedia.org/wiki/Meliá_Hotels_International,wikipedia_fallback,wikipedia,completed,,2025-07-30T21:33:19.879806
Fundación Red Nicaragüense de Comercio Comunitario,0,1,1,,,,,failed,Não foi possível encontrar website para Fundación Red Nicaragüense de Comercio Comunitario,2025-07-30T21:33:20.539084
Centre for Research and Advocacy Manipur (CRAM),0,1,1,,,,,failed,Não foi possível encontrar website para Centre for Research and Advocacy Manipur (CRAM),2025-07-30T21:33:21.305415
National network of black women to end violence,1,0,1,False,https://en.wikipedia.org/wiki/End_Violence_Against_Women_Coalition,wikipedia,wikipedia,completed,,2025-07-30T21:33:26.769614
Fluminense House,1,0,1,False,https://en.wikipedia.org/wiki/Fluminense_Federal_University,wikipedia,wikipedia,completed,,2025-07-30T21:33:28.764952
ABEEólica,1,0,1,False,https://en.wikipedia.org/wiki/Renewable_energy_in_Brazil,wikipedia_fallback,wikipedia,completed,,2025-07-30T21:33:33.957230
Private sector,1,0,1,False,https://en.wikipedia.org/wiki/Private_sector,wikipedia,wikipedia,completed,,2025-07-30T21:33:33.959332
Clean Institute Brazil Let's do it,1,0,1,False,https://en.wikipedia.org/wiki/Digital_Cleanup_Day,wikipedia_fallback,wikipedia,completed,,2025-07-30T21:33:35.697017
Minas Gerais Sugar and Ethanol Association,1,0,1,False,https://en.wikipedia.org/wiki/Ethanol_fuel_in_Brazil,wikipedia_fallback,wikipedia,completed,,2025-07-30T21:33:41.106489
Eletrobras,1,0,1,False,https://en.wikipedia.org/wiki/Eletrobras,wikipedia,wikipedia,completed,,2025-07-30T21:33:43.238302
ABC Brazilian Bank,1,0,1,,,,,failed,Não foi possível extrair conteúdo relevante de https://en.wikipedia.org/wiki/ABC,2025-07-30T21:33:44.249123
Treasury secretariat SP,1,0,1,False,https://en.wikipedia.org/wiki/Public_Service_of_Canada,wikipedia_fallback,wikipedia,completed,,2025-07-30T21:33:48.125305
Inpress Porter Novelli,1,0,1,False,https://inpresspni.com.br/,bing,website,completed,,2025-07-30T21:33:53.026328
Fortaleza de Santa Terezinha Agriculture and Livestock LTDA,1,0,1,False,https://www.fortaleza.ce.gov.br/,bing,website,completed,,2025-07-30T21:33:59.419735
Brazilian Institute for Technological and Sustainable Development,1,0,1,False,https://en.wikipedia.org/wiki/Sustainability,wikipedia_fallback,wikipedia,completed,,2025-07-30T21:34:03.512337
"Group of Institutes, Foundations and Companies - GIFE",1,0,1,False,https://gife.org.br/,bing,website,completed,,2025-07-30T21:34:09.251129
Lajedo's Anials Protection and Rescue Association,1,0,1,,,,,failed,Não foi possível encontrar website para Lajedo's Anials Protection and Rescue Association,2025-07-30T21:34:09.888278
COJOVEM,1,0,1,False,https://www.cojovem.com.br/,bing,website,completed,,2025-07-30T21:34:16.540504
CAAOBI Environmental Certifier,1,0,1,,,,,failed,Não foi possível encontrar website para CAAOBI Environmental Certifier,2025-07-30T21:34:17.148872
Jandyras Network,1,0,1,False,https://en.wikipedia.org/wiki/Ribeirão_Preto,wikipedia_fallback,wikipedia,completed,,2025-07-30T21:34:22.202037
Commercial Association of Pará,1,0,1,False,https://en.wikipedia.org/wiki/Belém,wikipedia_fallback,wikipedia,completed,,2025-07-30T21:34:24.771877
Brazilian Association of Cotton Producers,1,0,1,False,https://cottonbrazil.com/brazilian-cotton-producers-association-abrapa-joins-make-the-label-count-coalition/,bing,website,completed,,2025-07-30T21:34:31.216642
Brazilian Institute of Corporate Governance (IBGC),1,0,1,,,,,failed,Não foi possível encontrar website para Brazilian Institute of Corporate Governance (IBGC),2025-07-30T21:34:31.974570
WEG S.A.,1,0,1,False,https://en.wikipedia.org/wiki/WEG_Industries,wikipedia,wikipedia,completed,,2025-07-30T21:34:35.482754
ABBI - Brazilian Bioinnovation Association,1,0,1,,,,,failed,Não foi possível encontrar website para ABBI - Brazilian Bioinnovation Association,2025-07-30T21:34:36.171055
Mubadala Capital Brazil,1,0,1,False,https://www.mubadalacapital.ae/en/brazil,bing,website,completed,,2025-07-30T21:34:42.790486
IDEMA,1,0,1,False,https://en.wikipedia.org/wiki/Jonathan_Idema,wikipedia,wikipedia,completed,,2025-07-30T21:34:44.724144
Mediterranean Conservation Society,0,1,1,False,https://en.wikipedia.org/wiki/Akdeniz_Koruma_Derneği,wikipedia_fallback,wikipedia,completed,,2025-07-30T21:34:47.322797
Westminister City,0,1,1,False,https://en.wikipedia.org/wiki/City_of_Westminster,wikipedia,wikipedia,completed,,2025-07-30T21:34:49.933425
Kaohsiung City,0,1,1,False,https://en.wikipedia.org/wiki/Kaohsiung,wikipedia,wikipedia,completed,,2025-07-30T21:34:53.055225
House of Africa,0,1,1,,,,,failed,Não foi possível extrair conteúdo relevante de https://en.wikipedia.org/wiki/Africa,2025-07-30T21:34:54.238869
Huairou Commission,0,1,1,False,"https://en.wikipedia.org/wiki/Huairou,_Beijing",wikipedia,wikipedia,completed,,2025-07-30T21:34:59.811119
Shibuye Community Health Workers,0,1,1,False,https://en.wikipedia.org/wiki/List_of_rampage_killers_in_Africa,wikipedia_fallback,wikipedia,completed,,2025-07-30T21:35:06.688808
RiseUP Movement,0,1,1,False,https://en.wikipedia.org/wiki/Riseup,wikipedia,wikipedia,completed,,2025-07-30T21:35:12.500283
"Human Rights Watch, Inc.",0,1,1,False,https://en.wikipedia.org/wiki/Kurds_in_Istanbul,wikipedia_fallback,wikipedia,completed,,2025-07-30T21:35:16.775709
LOTS Group - Scania,1,0,1,False,https://lotsgroup.com/pt/,bing,website,completed,,2025-07-30T21:35:20.454419
Minas Gerais Federal University,1,0,1,False,https://en.wikipedia.org/wiki/Federal_University_of_Minas_Gerais,wikipedia,wikipedia,completed,,2025-07-30T21:35:24.997800
Run Sociocultural Productions,1,0,1,False,https://en.wikipedia.org/wiki/Human_sexuality,wikipedia_fallback,wikipedia,completed,,2025-07-30T21:35:27.449819
ecosecurities,1,0,1,False,https://en.wikipedia.org/wiki/Ecosecurities,wikipedia,wikipedia,completed,,2025-07-30T21:35:27.450868
Oxfam Brazil,1,0,1,False,https://en.wikipedia.org/wiki/Oxfam,wikipedia,wikipedia,completed,,2025-07-30T21:35:33.384931
Zàg Institute,1,0,1,False,https://en.wikipedia.org/wiki/Art_Deco,wikipedia_fallback,wikipedia,completed,,2025-07-30T21:35:35.322548
Future Carbon Holding S.A.,1,0,1,,,,,failed,Não foi possível extrair conteúdo relevante de https://futurecarbon.com.br/,2025-07-30T21:35:37.201783
Perifa Connection,1,0,1,False,https://en.wikipedia.org/wiki/Cartoon_Crossroads_Columbus,wikipedia_fallback,wikipedia,completed,,2025-07-30T21:35:41.763664
ABSOLAR,1,0,1,False,https://absolar.glueup.com/org/absolar/about/,bing,website,completed,,2025-07-30T21:35:51.799920
Unica,1,0,1,,,,,failed,Não foi possível extrair conteúdo relevante de https://en.wikipedia.org/wiki/Unica,2025-07-30T21:35:51.803362
Prumo /  Port Of Açu,1,0,1,,,,,failed,Não foi possível extrair conteúdo relevante de https://en.wikipedia.org/wiki/Superporto_do_Açu,2025-07-30T21:35:52.302360
Confederação de pequeno produtores rurais e empreendedores rurais - CONAFER,1,0,1,,,,,failed,Não foi possível encontrar website para Confederação de pequeno produtores rurais e empreendedores rurais - CONAFER,2025-07-30T21:35:53.017664
